form,abundance,exp,type,geogr,month,day,year,stemp,btemp,btime,start,visibility,averagedepth,maxdepth,current,habitat,site_ymd,abundance_recode,presence,exp_binary,num_surveys,multiple_surveys,wasting,region
5133917,0,E,3,11160104,8,17,2010,53,50,44,10,3,8,8,2,11,11160104_17_8_2010,1,0,1,1,0,0,11
5137365,0,E,3,11160104,10,18,2002,0,45,63,15,4,6,10,2,11,11160104_18_10_2002,1,0,1,1,0,0,11
5137358,0,E,3,11160104,9,18,2002,0,45,63,15,3,7,11,2,11,11160104_18_9_2002,1,0,1,1,0,0,11
5162141,0,N,3,11160104,12,19,2010,0,46,53,9,3,7,9,2,11,11160104_19_12_2010,1,0,0,2,1,0,11
19350,0,N,3,11160104,2,19,2002,0,46,38,16,4,NULL,11,1,12,11160104_19_2_2002,1,0,0,1,0,0,11
5161137,0,E,3,11160104,5,19,2010,0,50,59,15,4,6,10,1,11,11160104_19_5_2010,1,0,1,1,0,0,11
5170074,0,E,3,11160104,7,19,2020,0,50,53,9,2,7,10,1,11,11160104_19_7_2020,1,0,1,1,0,0,11
5172161,0,E,3,11160104,9,19,2020,0,50,58,9,2,7,11,1,11,11160104_19_9_2020,1,0,1,1,0,0,11
5013972,3,E,3,11160104,5,20,2007,0,0,50,13,2,NULL,8,2,12,11160104_20_5_2007,4,1,1,1,0,0,11
5157819,0,E,3,11160104,7,20,2019,0,50,51,10,2,6,9,1,11,11160104_20_7_2019,1,0,1,1,0,0,11
35247,0,N,3,11160104,9,20,2003,0,0,35,17,4,NULL,0,1,12,11160104_20_9_2003,1,0,0,1,0,0,11
37214,2,N,3,11160104,10,27,2002,0,47,50,15,3,NULL,9,2,12,11160104_27_10_2002,3,1,0,1,0,0,11
5153675,0,E,3,11160104,3,29,2019,0,46,53,15,3,7,10,1,11,11160104_29_3_2019,1,0,1,1,0,0,11
40630,0,E,3,11160104,7,29,2004,0,52,46,9,3,NULL,10,1,12,11160104_29_7_2004,1,0,1,1,0,0,11
41310,2,E,3,11160104,8,3,2010,49,49,51,10,4,NULL,10,2,12,11160104_3_8_2010,3,1,1,5,1,0,11
5157820,0,E,3,11160106,7,19,2019,0,52,48,13,2,6,8,1,11,11160106_19_7_2019,1,0,1,1,0,0,11
35246,2,N,3,11160106,9,22,2003,0,52,43,15,3,NULL,7,2,12,11160106_22_9_2003,3,1,0,1,0,0,11
37213,2,N,3,11160106,10,27,2002,0,47,53,10,2,NULL,9,2,12,11160106_27_10_2002,3,1,0,1,0,0,11
40631,2,E,3,11160106,7,29,2004,0,51,51,16,3,NULL,10,1,12,11160106_29_7_2004,3,1,1,1,0,0,11
5181157,0,E,3,11160107,7,15,2021,0,50,63,9,3,6,8,1,10,11160107_15_7_2021,1,0,1,1,0,0,11
5133916,1,E,3,11160107,8,17,2010,52,50,46,7,3,6,9,2,11,11160107_17_8_2010,2,1,1,1,0,0,11
5137366,0,E,3,11160107,11,18,2002,0,45,59,13,4,7,10,1,10,11160107_18_11_2002,1,0,1,1,0,0,11
5137368,1,E,3,11160107,12,18,2002,0,45,60,10,4,6,10,1,10,11160107_18_12_2002,2,1,1,1,0,0,11
36260,2,N,3,11160107,5,18,2002,0,0,31,16,3,NULL,7,1,11,11160107_18_5_2002,3,1,0,1,0,0,11
5170073,0,E,3,11160107,7,18,2020,0,50,49,16,2,6,8,1,11,11160107_18_7_2020,1,0,1,1,0,0,11
5181183,0,E,3,11160107,7,18,2021,0,52,54,12,2,7,9,1,10,11160107_18_7_2021,1,0,1,1,0,0,11
5144606,1,E,3,11160107,8,18,2018,0,50,59,23,2,7,10,1,11,11160107_18_8_2018,2,1,1,1,0,0,11
5161136,0,E,3,11160107,5,19,2010,0,48,60,11,3,6,8,1,10,11160107_19_5_2010,1,0,1,1,0,0,11
5162739,1,E,3,11160107,9,19,2011,0,48,56,14,3,7,9,1,11,11160107_19_9_2011,2,1,1,1,0,0,11
5171753,0,E,3,11160107,10,20,2009,0,50,60,11,2,6,10,1,10,11160107_20_10_2009,1,0,1,1,0,0,11
5013970,3,E,3,11160107,5,20,2007,48,48,58,8,2,NULL,9,2,12,11160107_20_5_2007,4,1,1,1,0,0,11
35250,2,N,3,11160107,9,20,2003,60,50,45,13,4,NULL,6,2,12,11160107_20_9_2003,3,1,0,1,0,0,11
5157823,0,E,3,11160107,7,21,2019,0,50,51,8,2,7,10,1,11,11160107_21_7_2019,1,0,1,1,0,0,11
5036535,0,N,3,11160107,7,23,2010,0,50,26,10,3,NULL,8,1,12,11160107_23_7_2010,1,0,0,1,0,0,11
37210,0,N,3,11160107,10,26,2002,0,45,48,9,3,NULL,8,1,11,11160107_26_10_2002,1,0,0,1,0,0,11
40629,2,E,3,11160107,7,28,2004,0,51,38,8,3,NULL,9,1,12,11160107_28_7_2004,3,1,1,1,0,0,11
41300,2,E,3,11160107,8,3,2010,0,49,60,16,3,NULL,9,1,11,11160107_3_8_2010,3,1,1,6,1,0,11
5153677,0,E,3,11160107,3,30,2019,0,46,57,14,3,7,9,1,11,11160107_30_3_2019,1,0,1,1,0,0,11
5170070,3,E,3,11160108,7,17,2020,0,52,51,16,3,7,10,1,11,11160108_17_7_2020,4,1,1,1,0,0,11
5137367,3,E,3,11160108,12,18,2002,0,45,63,14,4,6,11,1,11,11160108_18_12_2002,4,1,1,1,0,0,11
5162740,2,E,3,11160108,10,19,2011,0,48,55,15,3,7,11,1,11,11160108_19_10_2011,3,1,1,1,0,0,11
5144613,3,E,3,11160108,8,19,2018,0,50,53,12,2,7,10,1,11,11160108_19_8_2018,4,1,1,1,0,0,11
41067,2,E,3,11160108,9,3,2010,0,50,49,17,3,NULL,8,1,12,11160108_3_9_2010,3,1,1,6,1,0,11
5153683,2,E,3,11160108,3,31,2019,0,46,54,15,2,7,9,1,11,11160108_31_3_2019,3,1,1,1,0,0,11
5181179,2,E,3,11160109,7,17,2021,0,50,54,11,3,7,10,1,11,11160109_17_7_2021,3,1,1,1,0,0,11
5137364,0,E,3,11160109,10,18,2002,0,45,52,12,4,8,11,1,11,11160109_18_10_2002,1,0,1,1,0,0,11
5161139,2,E,3,11160109,6,19,2010,0,50,58,12,3,7,10,1,11,11160109_19_6_2010,3,1,1,1,0,0,11
5162737,0,E,3,11160109,8,19,2011,0,48,58,16,3,7,10,1,11,11160109_19_8_2011,1,0,1,1,0,0,11
5157818,0,E,3,11160109,7,20,2019,0,50,50,7,2,7,11,1,11,11160109_20_7_2019,1,0,1,1,0,0,11
45285,2,E,3,11160109,5,21,2005,51,51,57,10,3,NULL,6,2,2,11160109_21_5_2005,3,1,1,1,0,0,11
41125,3,E,3,11160109,11,3,2010,0,50,53,12,3,NULL,10,2,12,11160109_3_11_2010,4,1,1,6,1,0,11
5153680,2,E,3,11160109,3,31,2019,0,48,62,10,3,7,14,1,11,11160109_31_3_2019,3,1,1,1,0,0,11
5033619,2,N,3,11160110,8,10,2005,50,47,51,15,3,NULL,5,2,2,11160110_10_8_2005,3,1,0,2,1,0,11
5033649,3,E,3,11160110,9,10,2005,49,49,49,15,3,NULL,5,2,2,11160110_10_9_2005,4,1,1,1,0,0,11
5157821,2,E,3,11160110,7,19,2019,0,52,52,17,2,6,8,3,9,11160110_19_7_2019,3,1,1,1,0,0,11
41126,3,N,3,11160110,11,3,2010,0,0,64,16,2,NULL,7,3,11,11160110_3_11_2010,4,1,0,3,1,0,11
45284,3,E,3,11160111,5,20,2005,51,51,52,16,3,NULL,6,2,2,11160111_20_5_2005,4,1,1,1,0,0,11
5037136,2,N,3,11160113,8,10,2008,0,55,57,11,1,NULL,5,3,10,11160113_10_8_2008,3,1,0,1,0,0,11
5036536,0,N,3,11160113,6,20,2010,0,52,41,14,1,NULL,6,3,10,11160113_20_6_2010,1,0,0,1,0,0,11
5037137,2,N,3,11160114,8,10,2008,0,63,59,14,2,NULL,4,2,2,11160114_10_8_2008,3,1,0,1,0,0,11
5036537,2,N,3,11160114,6,20,2010,0,52,41,16,2,NULL,5,3,2,11160114_20_6_2010,3,1,0,1,0,0,11
5037282,2,E,3,11160115,8,15,2010,52,52,60,11,2,NULL,8,2,2,11160115_15_8_2010,3,1,1,2,1,0,11
5037131,1,N,3,11160115,7,16,2010,0,50,34,11,2,NULL,6,2,12,11160115_16_7_2010,2,1,0,1,0,0,11
5037130,1,N,3,11160116,7,16,2010,0,50,33,7,2,NULL,7,2,10,11160116_16_7_2010,2,1,0,1,0,0,11
5181159,0,E,3,11160117,7,15,2021,0,48,58,15,2,7,10,1,11,11160117_15_7_2021,1,0,1,1,0,0,11
5137933,1,E,3,11160117,10,18,2002,0,45,60,8,3,8,11,2,11,11160117_18_10_2002,2,1,1,1,0,0,11
5137940,1,E,3,11160117,11,18,2002,0,45,66,9,4,7,10,1,11,11160117_18_11_2002,2,1,1,1,0,0,11
5162738,2,E,3,11160117,9,19,2011,0,48,57,7,3,7,10,1,11,11160117_19_9_2011,3,1,1,1,0,0,11
5157822,2,E,3,11160117,7,20,2019,0,50,55,14,2,7,10,1,11,11160117_20_7_2019,3,1,1,1,0,0,11
5171751,2,E,3,11160117,9,20,2009,0,50,54,17,3,7,10,1,11,11160117_20_9_2009,3,1,1,1,0,0,11
5153676,1,E,3,11160117,3,30,2019,0,46,62,9,3,7,9,1,11,11160117_30_3_2019,2,1,1,1,0,0,11
5162758,0,E,3,11160118,11,19,2011,0,48,48,12,3,6,8,2,10,11160118_19_11_2011,1,0,1,1,0,0,11
5181181,0,E,3,11160119,7,17,2021,0,55,57,18,2,6,7,1,10,11160119_17_7_2021,1,0,1,1,0,0,11
5170191,1,E,3,11160119,7,19,2020,0,52,52,11,2,5,7,1,10,11160119_19_7_2020,2,1,1,1,0,0,11
5172163,1,E,3,11160119,9,19,2020,0,50,57,13,3,6,8,1,10,11160119_19_9_2020,2,1,1,1,0,0,11
5181158,2,E,3,11190001,7,15,2021,0,50,62,11,2,5,6,2,3,11190001_15_7_2021,3,1,1,1,0,0,11
5181180,2,E,3,11190001,7,17,2021,0,52,62,14,2,5,6,2,3,11190001_17_7_2021,3,1,1,1,0,0,11
5171749,3,E,3,11190001,9,20,2009,0,52,60,14,3,6,7,2,3,11190001_20_9_2009,4,1,1,1,0,0,11
5160394,2,E,3,11190001,9,20,2019,55,54,74,22,2,5,7,2,3,11190001_20_9_2019,3,1,1,2,1,0,11
5172166,3,E,3,11190001,9,20,2020,0,52,62,10,2,5,6,2,3,11190001_20_9_2020,4,1,1,1,0,0,11
5157824,2,E,3,11190001,7,21,2019,0,52,49,11,2,5,6,2,3,11190001_21_7_2019,3,1,1,1,0,0,11
5153759,2,E,3,11190001,3,29,2019,0,46,47,18,2,5,6,1,3,11190001_29_3_2019,3,1,1,1,0,0,11
5181160,0,E,3,11190002,7,16,2021,0,50,44,11,2,7,10,1,11,11190002_16_7_2021,1,0,1,1,0,0,11
5171956,0,E,3,11190002,9,20,2009,0,50,61,11,3,7,10,2,11,11190002_20_9_2009,1,0,1,1,0,0,11
5039793,0,N,3,11201001,7,10,2010,0,46,50,15,3,NULL,7,3,12,11201001_10_7_2010,1,0,0,1,0,0,11
18501,2,N,3,11201001,4,13,2003,46,45,45,10,3,NULL,7,2,12,11201001_13_4_2003,3,1,0,1,0,0,11
5158681,2,E,3,11201001,4,14,2019,0,44,56,11,3,7,11,2,11,11201001_14_4_2019,3,1,1,2,1,0,11
5103342,1,E,3,11201001,12,15,2009,0,48,46,16,3,NULL,10,1,11,11201001_15_12_2009,2,1,1,1,0,0,11
5098350,0,E,3,11201001,5,16,2015,0,46,54,8,3,NULL,9,1,11,11201001_16_5_2015,1,0,1,1,0,1,11
34698,0,N,3,11201001,5,18,2002,46,44,35,7,3,NULL,9,2,12,11201001_18_5_2002,1,0,0,1,0,0,11
5083770,0,E,3,11201001,5,18,2014,0,47,48,13,3,NULL,10,1,12,11201001_18_5_2014,1,0,1,1,0,1,11
5155087,0,E,3,11201001,5,18,2019,0,46,52,16,2,7,9,1,11,11201001_18_5_2019,1,0,1,1,0,0,11
34697,0,N,3,11201001,5,19,2002,44,42,35,8,3,NULL,9,3,12,11201001_19_5_2002,1,0,0,1,0,0,11
36163,1,N,3,11201001,5,19,2003,45,44,40,9,4,NULL,7,2,12,11201001_19_5_2003,2,1,0,1,0,0,11
5140521,0,E,3,11201001,5,21,2018,0,46,49,15,2,6,9,1,11,11201001_21_5_2018,1,0,1,1,0,0,11
5028415,0,E,3,11201001,8,21,2009,49,48,50,11,3,NULL,11,1,12,11201001_21_8_2009,1,0,1,1,0,0,11
36165,1,N,3,11201001,4,3,2005,44,44,36,10,3,NULL,9,2,12,11201001_3_4_2005,2,1,0,1,0,0,11
18500,2,N,3,11201001,8,3,2006,47,46,40,11,1,NULL,7,1,12,11201001_3_8_2006,3,1,0,1,0,0,11
20667,0,N,3,11201003,8,10,2000,43,42,35,15,3,NULL,9,2,12,11201003_10_8_2000,1,0,0,1,0,0,11
5017649,2,E,3,11201003,8,14,2008,49,49,52,9,4,NULL,11,2,12,11201003_14_8_2008,3,1,1,2,1,0,11
5098353,0,E,3,11201003,5,16,2015,0,46,47,15,3,NULL,9,1,11,11201003_16_5_2015,1,0,1,1,0,1,11
5017960,0,E,3,11201003,8,16,2008,50,48,33,17,4,NULL,13,1,12,11201003_16_8_2008,1,0,1,1,0,0,11
18485,2,N,3,11201003,5,17,2003,46,45,38,13,3,NULL,7,2,12,11201003_17_5_2003,3,1,0,1,0,0,11
5083765,0,E,3,11201003,5,17,2014,0,47,44,11,3,NULL,9,1,12,11201003_17_5_2014,1,0,1,1,0,1,11
36161,2,N,3,11201003,5,18,2003,45,44,41,8,4,NULL,8,2,12,11201003_18_5_2003,3,1,0,1,0,0,11
18505,0,N,3,11201003,5,19,2002,44,42,40,15,4,NULL,9,2,12,11201003_19_5_2002,1,0,0,1,0,0,11
5140517,0,E,3,11201003,5,19,2018,0,46,43,13,3,6,8,2,11,11201003_19_5_2018,1,0,1,1,0,0,11
5172817,0,E,3,11201003,4,20,2010,0,48,46,12,2,6,8,1,7,11201003_20_4_2010,1,0,1,1,0,0,11
5155090,0,E,3,11201003,5,20,2019,0,46,48,11,2,6,9,1,11,11201003_20_5_2019,1,0,1,1,0,0,11
5140523,0,E,3,11201003,5,22,2018,0,46,54,16,2,8,10,2,11,11201003_22_5_2018,1,0,1,1,0,0,11
5111714,0,E,3,11201003,5,23,2016,0,46,41,11,3,7,10,2,11,11201003_23_5_2016,1,0,1,1,0,0,11
20664,0,N,3,11201003,8,23,2000,44,43,35,11,4,NULL,10,2,12,11201003_23_8_2000,1,0,0,1,0,0,11
5017651,0,N,3,11201004,8,14,2008,49,47,47,10,4,NULL,9,2,11,11201004_14_8_2008,1,0,0,2,1,0,11
5153851,0,E,3,11201005,4,13,2019,48,48,54,10,3,8,10,2,11,11201005_13_4_2019,1,0,1,2,1,0,11
5017958,0,N,3,11201005,8,16,2008,49,49,44,10,4,NULL,9,1,12,11201005_16_8_2008,1,0,0,2,1,0,11
5083768,0,E,3,11201005,5,17,2014,0,47,51,18,3,NULL,9,1,12,11201005_17_5_2014,1,0,1,1,0,1,11
5155085,0,E,3,11201005,5,18,2019,0,46,54,10,2,6,8,1,11,11201005_18_5_2019,1,0,1,1,0,0,11
5111712,0,E,3,11201005,5,21,2016,0,48,60,16,2,6,8,2,11,11201005_21_5_2016,1,0,1,1,0,0,11
5140522,0,E,3,11201005,5,22,2018,0,46,66,10,2,7,9,2,11,11201005_22_5_2018,1,0,1,1,0,0,11
5028417,0,E,3,11201005,8,22,2009,49,48,32,11,4,NULL,9,1,12,11201005_22_8_2009,1,0,1,1,0,0,11
5052046,0,N,3,11201006,8,11,2010,0,46,32,8,2,NULL,9,2,12,11201006_11_8_2010,1,0,0,1,0,0,11
5098356,0,E,3,11201006,5,17,2015,0,46,45,16,3,NULL,10,1,11,11201006_17_5_2015,1,0,1,1,0,1,11
5052173,2,N,3,11201007,7,11,2010,0,46,37,17,2,NULL,4,3,10,11201007_11_7_2010,3,1,0,1,0,0,11
5098351,2,E,3,11201007,5,16,2015,0,46,50,12,3,NULL,9,2,11,11201007_16_5_2015,3,1,1,1,0,1,11
5098357,2,E,3,11201007,5,17,2015,0,46,43,7,3,NULL,10,3,11,11201007_17_5_2015,3,1,1,1,0,1,11
5111902,0,E,3,11201008,5,22,2016,0,46,48,17,2,7,8,2,11,11201008_22_5_2016,1,0,1,1,0,0,11
5028615,2,E,3,11260001,8,20,2009,50,49,50,9,4,NULL,12,3,12,11260001_20_8_2009,3,1,1,1,0,0,11
5039792,0,N,3,11310001,7,10,2010,0,50,28,10,3,NULL,9,1,12,11310001_10_7_2010,1,0,0,1,0,0,11
20668,2,N,3,11310001,8,10,2000,43,42,40,17,3,NULL,9,3,12,11310001_10_8_2000,3,1,0,1,0,0,11
5103343,0,E,3,11310001,12,15,2009,0,48,44,18,3,NULL,10,1,11,11310001_15_12_2009,1,0,1,1,0,0,11
5015889,0,N,3,11310001,6,15,2008,0,46,37,16,2,NULL,7,2,12,11310001_15_6_2008,1,0,0,1,0,0,11
18502,2,N,3,11310001,5,17,2003,46,45,35,8,3,NULL,7,2,12,11310001_17_5_2003,3,1,0,1,0,0,11
5018144,2,E,3,11310001,8,17,2008,50,49,40,9,3,NULL,10,2,12,11310001_17_8_2008,3,1,1,2,1,0,11
34696,1,N,3,11310001,5,18,2002,48,44,35,14,3,NULL,9,2,12,11310001_18_5_2002,2,1,0,1,0,0,11
5155088,0,E,3,11310001,5,19,2019,0,46,31,10,2,7,9,1,11,11310001_19_5_2019,1,0,1,1,0,0,11
36164,2,N,3,11310001,4,20,2003,44,43,38,10,3,NULL,8,2,12,11310001_20_4_2003,3,1,0,1,0,0,11
5172816,0,E,3,11310001,4,20,2010,0,48,56,10,3,7,10,1,11,11310001_20_4_2010,1,0,1,1,0,0,11
5140518,0,E,3,11310001,5,20,2018,0,46,41,9,2,6,9,2,11,11310001_20_5_2018,1,0,1,1,0,0,11
5111709,0,E,3,11310001,5,21,2016,0,46,51,9,3,7,9,2,11,11310001_21_5_2016,1,0,1,1,0,0,11
5140520,0,E,3,11310001,5,21,2018,0,46,53,12,2,6,9,2,11,11310001_21_5_2018,1,0,1,1,0,0,11
20658,0,N,3,11310001,8,23,2000,44,43,40,14,4,NULL,10,3,12,11310001_23_8_2000,1,0,0,1,0,0,11
40814,1,N,3,11310001,4,28,2003,50,45,42,16,3,NULL,9,3,2,11310001_28_4_2003,2,1,0,1,0,0,11
5017501,2,E,3,11310001,12,8,2007,48,48,52,16,3,NULL,9,2,12,11310001_8_12_2007,3,1,1,1,0,0,11
20662,0,N,3,11310001,9,9,2000,43,42,30,16,2,NULL,10,3,12,11310001_9_9_2000,1,0,0,1,0,0,11
5052044,0,N,3,11310002,7,11,2010,0,46,40,9,3,NULL,10,2,12,11310002_11_7_2010,1,0,0,1,0,0,11
40822,1,N,3,11310002,3,3,2005,0,48,47,15,3,NULL,9,3,2,11310002_3_3_2005,2,1,0,1,0,0,11
5052047,0,N,3,11310003,8,11,2010,0,45,45,14,3,NULL,9,2,12,11310003_11_8_2010,1,0,0,1,0,0,11
5052045,0,N,3,11310004,7,11,2010,0,46,40,14,3,NULL,9,2,12,11310004_11_7_2010,1,0,0,1,0,0,11
5018071,0,N,3,11310004,6,15,2008,0,46,37,19,2,NULL,10,1,12,11310004_15_6_2008,1,0,0,1,0,0,11
5028411,2,E,3,11310004,8,18,2009,50,49,47,9,3,NULL,10,2,12,11310004_18_8_2009,3,1,1,1,0,0,11
5153849,0,E,3,11310004,12,19,2004,48,48,71,10,3,7,9,2,11,11310004_19_12_2004,1,0,1,4,1,0,11
5017650,2,E,3,11310005,8,14,2008,50,49,35,12,4,NULL,7,2,9,11310005_14_8_2008,3,1,1,2,1,0,11
5017655,2,E,3,11310006,8,14,2008,49,49,43,15,4,NULL,11,1,12,11310006_14_8_2008,3,1,1,2,1,0,11
5028614,2,E,3,11310007,8,19,2009,50,49,30,15,2,NULL,12,2,4,11310007_19_8_2009,3,1,1,1,0,0,11
5153852,0,E,3,11320001,4,13,2019,48,48,59,13,3,7,10,2,11,11320001_13_4_2019,1,0,1,2,1,0,11
5153854,0,E,3,11320001,4,14,2019,48,48,58,16,3,8,11,2,11,11320001_14_4_2019,1,0,1,2,1,0,11
5017865,2,E,3,11320001,8,15,2008,49,49,52,9,4,NULL,12,2,12,11320001_15_8_2008,3,1,1,4,1,0,11
5098354,0,E,3,11320001,5,17,2015,0,46,45,9,3,NULL,11,1,11,11320001_17_5_2015,1,0,1,1,0,1,11
5018159,0,E,3,11320001,8,17,2008,49,48,45,11,4,NULL,13,2,12,11320001_17_8_2008,1,0,1,2,1,0,11
5028412,0,E,3,11320001,8,18,2009,50,49,45,16,2,NULL,12,2,12,11320001_18_8_2009,1,0,1,1,0,0,11
5140516,0,E,3,11320001,5,19,2018,0,46,32,9,2,6,9,2,11,11320001_19_5_2018,1,0,1,1,0,0,11
5028416,2,E,3,11320001,8,21,2009,49,48,28,18,3,NULL,11,2,12,11320001_21_8_2009,3,1,1,1,0,0,11
5111713,0,E,3,11320001,5,22,2016,0,46,50,10,3,7,10,2,11,11320001_22_5_2016,1,0,1,1,0,0,11
20657,0,N,2,11320001,7,30,2000,0,0,33,10,2,NULL,8,2,12,11320001_30_7_2000,1,0,0,1,0,0,11
5017491,2,E,3,11320001,12,8,2007,48,48,58,13,2,NULL,10,1,12,11320001_8_12_2007,3,1,1,1,0,0,11
5017646,2,E,3,11340002,8,13,2008,50,49,52,17,3,NULL,10,2,11,11340002_13_8_2008,3,1,1,2,1,0,11
5028413,2,E,3,11340002,8,22,2009,49,48,38,18,3,NULL,14,2,12,11340002_22_8_2009,3,1,1,1,0,0,11
5103341,0,E,3,11400101,12,15,2009,0,50,53,11,2,NULL,6,2,9,11400101_15_12_2009,1,0,1,1,0,0,11
36162,2,N,3,11400102,5,18,2003,46,44,44,14,4,NULL,8,2,12,11400102_18_5_2003,3,1,0,1,0,0,11
5083771,0,E,3,11400102,5,18,2014,0,47,45,19,3,NULL,8,1,12,11400102_18_5_2014,1,0,1,1,0,1,11
5155089,0,E,3,11400102,5,19,2019,0,46,50,17,2,6,9,1,11,11400102_19_5_2019,1,0,1,1,0,0,11
5140519,0,E,3,11400102,5,20,2018,0,46,32,14,2,6,9,1,11,11400102_20_5_2018,1,0,1,1,0,0,11
20663,1,N,3,11400102,9,9,2000,43,42,30,14,3,NULL,10,2,12,11400102_9_9_2000,2,1,0,1,0,0,11
5039692,2,N,3,11400201,6,10,2010,0,52,33,16,3,NULL,5,3,2,11400201_10_6_2010,3,1,0,2,1,0,11
5039794,2,N,3,11400201,8,10,2010,0,48,61,17,2,NULL,7,3,2,11400201_10_8_2010,3,1,0,2,1,0,11
5103344,0,E,3,11400201,9,13,2015,0,50,45,9,3,NULL,10,3,2,11400201_13_9_2015,1,0,1,1,0,1,11
59228,2,E,3,11400202,8,21,2007,0,50,54,12,2,NULL,9,3,11,11400202_21_8_2007,3,1,1,1,0,0,11
34681,3,N,3,11400206,8,28,2002,0,0,39,19,3,NULL,12,2,12,11400206_28_8_2002,4,1,0,1,0,0,11
