dummy_id,year,survey_name,stat_area,num_quadrats,num_pycno,pycno_density,bottom_time,presence,source,region_numeric
42_A,2006,CC 2006 Index sites survey,6,16,2,0.125,56,1,abalone,2
43_A,2006,CC 2006 Index sites survey,6,16,2,0.125,59,1,abalone,2
44_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,59,1,abalone,2
45_A,2006,CC 2006 Index sites survey,6,16,2,0.125,31,1,abalone,2
46_A,2006,CC 2006 Index sites survey,7,16,4,0.25,32,1,abalone,2
47_A,2006,CC 2006 Index sites survey,7,16,8,0.5,41,1,abalone,2
48_A,2006,CC 2006 Index sites survey,7,16,1,0.0625,23,1,abalone,2
49_A,2006,CC 2006 Index sites survey,7,16,0,0,25,0,abalone,2
50_A,2006,CC 2006 Index sites survey,7,16,0,0,30,0,abalone,2
51_A,2006,CC 2006 Index sites survey,7,16,0,0,47,0,abalone,2
52_A,2006,CC 2006 Index sites survey,7,16,0,0,37,0,abalone,2
53_A,2006,CC 2006 Index sites survey,7,16,1,0.0625,30,1,abalone,2
54_A,2006,CC 2006 Index sites survey,7,16,0,0,25,0,abalone,2
55_A,2006,CC 2006 Index sites survey,7,16,0,0,52,0,abalone,2
56_A,2006,CC 2006 Index sites survey,7,16,0,0,27,0,abalone,2
57_A,2006,CC 2006 Index sites survey,7,16,0,0,37,0,abalone,2
58_A,2006,CC 2006 Index sites survey,7,16,0,0,58,0,abalone,2
59_A,2006,CC 2006 Index sites survey,7,16,0,0,47,0,abalone,2
60_A,2006,CC 2006 Index sites survey,7,16,0,0,27,0,abalone,2
61_A,2006,CC 2006 Index sites survey,7,16,0,0,32,0,abalone,2
62_A,2006,CC 2006 Index sites survey,7,16,1,0.0625,30,1,abalone,2
63_A,2006,CC 2006 Index sites survey,7,16,0,0,32,0,abalone,2
64_A,2006,CC 2006 Index sites survey,7,16,0,0,37,0,abalone,2
65_A,2006,CC 2006 Index sites survey,7,16,0,0,31,0,abalone,2
66_A,2006,CC 2006 Index sites survey,7,16,0,0,52,0,abalone,2
67_A,2006,CC 2006 Index sites survey,7,15,2,0.133333333,50,1,abalone,2
68_A,2006,CC 2006 Index sites survey,7,16,3,0.1875,51,1,abalone,2
69_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,40,1,abalone,1
70_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,37,1,abalone,1
71_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,26,1,abalone,1
72_A,2007,QCI 2007 Index sites survey,2,16,0,0,37,0,abalone,1
73_A,2007,QCI 2007 Index sites survey,2,16,6,0.375,23,1,abalone,1
74_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,25,1,abalone,1
75_A,2007,QCI 2007 Index sites survey,2,16,4,0.25,28,1,abalone,1
76_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,39,1,abalone,1
77_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,18,1,abalone,1
78_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,20,1,abalone,1
79_A,2007,QCI 2007 Index sites survey,2,16,5,0.3125,20,1,abalone,1
80_A,2007,QCI 2007 Index sites survey,2,16,0,0,30,0,abalone,1
81_A,2007,QCI 2007 Index sites survey,2,16,0,0,29,0,abalone,1
82_A,2007,QCI 2007 Index sites survey,2,16,7,0.4375,40,1,abalone,1
83_A,2007,QCI 2007 Index sites survey,2,16,0,0,23,0,abalone,1
84_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,17,1,abalone,1
85_A,2007,QCI 2007 Index sites survey,2,16,3,0.1875,19,1,abalone,1
86_A,2007,QCI 2007 Index sites survey,2,16,3,0.1875,45,1,abalone,1
87_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,40,1,abalone,1
88_A,2007,QCI 2007 Index sites survey,2,16,5,0.3125,24,1,abalone,1
89_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,49,1,abalone,1
90_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,37,1,abalone,1
91_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,50,1,abalone,1
92_A,2007,QCI 2007 Index sites survey,2,16,0,0,23,0,abalone,1
93_A,2007,QCI 2007 Index sites survey,2,16,0,0,30,0,abalone,1
94_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,35,1,abalone,1
95_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,25,1,abalone,1
96_A,2007,QCI 2007 Index sites survey,2,16,0,0,29,0,abalone,1
97_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,41,1,abalone,1
98_A,2007,QCI 2007 Index sites survey,2,16,0,0,48,0,abalone,1
99_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,44,1,abalone,1
100_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,29,1,abalone,1
101_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,42,1,abalone,1
102_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,16,1,abalone,1
103_A,2007,QCI 2007 Index sites survey,2,16,0,0,20,0,abalone,1
104_A,2007,QCI 2007 Index sites survey,2,16,5,0.3125,52,1,abalone,1
105_A,2007,QCI 2007 Index sites survey,2,16,3,0.1875,35,1,abalone,1
106_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,18,1,abalone,1
107_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,19,1,abalone,1
108_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,30,1,abalone,1
109_A,2007,QCI 2007 Index sites survey,2,16,6,0.375,21,1,abalone,1
110_A,2007,QCI 2007 Index sites survey,2,16,7,0.4375,15,1,abalone,1
111_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,42,1,abalone,1
112_A,2007,QCI 2007 Index sites survey,2,16,5,0.3125,47,1,abalone,1
113_A,2007,QCI 2007 Index sites survey,2,16,0,0,18,0,abalone,1
114_A,2007,QCI 2007 Index sites survey,2,16,6,0.375,34,1,abalone,1
115_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,40,1,abalone,1
116_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,59,1,abalone,1
117_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,24,1,abalone,1
118_A,2007,QCI 2007 Index sites survey,2,16,0,0,44,0,abalone,1
119_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,23,1,abalone,1
120_A,2007,QCI 2007 Index sites survey,2,16,0,0,20,0,abalone,1
121_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,15,1,abalone,1
122_A,2007,QCI 2007 Index sites survey,2,16,0,0,13,0,abalone,1
123_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,40,1,abalone,1
124_A,2007,QCI 2007 Index sites survey,2,16,0,0,19,0,abalone,1
125_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,55,1,abalone,1
126_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,30,1,abalone,1
127_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,38,1,abalone,1
128_A,2007,QCI 2007 Index sites survey,2,16,0,0,50,0,abalone,1
129_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,24,1,abalone,1
130_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,37,1,abalone,1
131_A,2007,QCI 2007 Index sites survey,2,16,0,0,38,0,abalone,1
132_A,2007,QCI 2007 Index sites survey,2,16,0,0,23,0,abalone,1
133_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,20,1,abalone,1
134_A,2007,QCI 2007 Index sites survey,2,16,0,0,34,0,abalone,1
135_A,2007,QCI 2007 Index sites survey,2,16,9,0.5625,29,1,abalone,1
136_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,27,1,abalone,1
137_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,28,1,abalone,1
138_A,2007,QCI 2007 Index sites survey,2,16,3,0.1875,55,1,abalone,1
139_A,2007,QCI 2007 Index sites survey,2,16,0,0,35,0,abalone,1
140_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,54,1,abalone,1
141_A,2007,QCI 2007 Index sites survey,2,16,0,0,25,0,abalone,1
142_A,2007,QCI 2007 Index sites survey,2,16,0,0,19,0,abalone,1
143_A,2007,QCI 2007 Index sites survey,2,16,7,0.4375,49,1,abalone,1
144_A,2007,QCI 2007 Index sites survey,2,16,0,0,18,0,abalone,1
145_A,2007,QCI 2007 Index sites survey,2,16,0,0,18,0,abalone,1
146_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,26,1,abalone,1
147_A,2007,QCI 2007 Index sites survey,2,16,0,0,21,0,abalone,1
148_A,2007,QCI 2007 Index sites survey,2,16,1,0.0625,21,1,abalone,1
149_A,2007,QCI 2007 Index sites survey,2,16,4,0.25,54,1,abalone,1
150_A,2007,QCI 2007 Index sites survey,2,16,2,0.125,18,1,abalone,1
151_A,2008,WCQCI 2008 Index sites survey,2,16,3,0.1875,32,1,abalone,1
152_A,2008,WCQCI 2008 Index sites survey,2,12,1,0.083333333,28,1,abalone,1
153_A,2008,WCQCI 2008 Index sites survey,2,16,2,0.125,34,1,abalone,1
154_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,47,0,abalone,1
155_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,34,0,abalone,1
156_A,2008,WCQCI 2008 Index sites survey,2,12,1,0.083333333,28,1,abalone,1
157_A,2008,WCQCI 2008 Index sites survey,2,8,1,0.125,8,1,abalone,1
158_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,39,0,abalone,1
159_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,51,0,abalone,1
160_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,38,0,abalone,1
161_A,2008,WCQCI 2008 Index sites survey,2,8,1,0.125,28,1,abalone,1
162_A,2008,WCQCI 2008 Index sites survey,2,16,2,0.125,70,1,abalone,1
163_A,2008,WCQCI 2008 Index sites survey,2,16,3,0.1875,36,1,abalone,1
164_A,2008,WCQCI 2008 Index sites survey,2,16,3,0.1875,18,1,abalone,1
165_A,2008,WCQCI 2008 Index sites survey,2,8,1,0.125,7,1,abalone,1
166_A,2008,WCQCI 2008 Index sites survey,2,8,1,0.125,7,1,abalone,1
167_A,2008,WCQCI 2008 Index sites survey,2,8,0,0,14,0,abalone,1
168_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,21,0,abalone,1
169_A,2008,WCQCI 2008 Index sites survey,2,16,5,0.3125,46,1,abalone,1
170_A,2008,WCQCI 2008 Index sites survey,2,16,2,0.125,31,1,abalone,1
171_A,2008,WCQCI 2008 Index sites survey,2,16,1,0.0625,26,1,abalone,1
172_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,57,0,abalone,1
173_A,2008,WCQCI 2008 Index sites survey,2,8,1,0.125,19,1,abalone,1
174_A,2008,WCQCI 2008 Index sites survey,2,8,0,0,10,0,abalone,1
175_A,2008,WCQCI 2008 Index sites survey,2,8,5,0.625,14,1,abalone,1
176_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,60,0,abalone,1
177_A,2008,WCQCI 2008 Index sites survey,2,16,1,0.0625,53,1,abalone,1
178_A,2008,WCQCI 2008 Index sites survey,2,16,2,0.125,27,1,abalone,1
179_A,2008,WCQCI 2008 Index sites survey,2,16,2,0.125,36,1,abalone,1
180_A,2008,WCQCI 2008 Index sites survey,2,16,1,0.0625,20,1,abalone,1
181_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,50,0,abalone,1
182_A,2008,WCQCI 2008 Index sites survey,2,8,0,0,16,0,abalone,1
183_A,2008,WCQCI 2008 Index sites survey,2,16,5,0.3125,3,1,abalone,1
184_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,41,0,abalone,1
185_A,2008,WCQCI 2008 Index sites survey,2,16,1,0.0625,29,1,abalone,1
186_A,2008,WCQCI 2008 Index sites survey,2,16,1,0.0625,47,1,abalone,1
187_A,2008,WCQCI 2008 Index sites survey,2,16,2,0.125,24,1,abalone,1
188_A,2008,WCQCI 2008 Index sites survey,2,16,1,0.0625,41,1,abalone,1
189_A,2008,WCQCI 2008 Index sites survey,2,16,3,0.1875,40,1,abalone,1
190_A,2008,WCQCI 2008 Index sites survey,2,14,1,0.071428571,44,1,abalone,1
191_A,2008,WCQCI 2008 Index sites survey,2,16,1,0.0625,47,1,abalone,1
192_A,2008,WCQCI 2008 Index sites survey,2,8,0,0,14,0,abalone,1
193_A,2008,WCQCI 2008 Index sites survey,2,16,0,0,22,0,abalone,1
194_A,2008,WCVI 2008 Index sites Survey,27,16,5,0.3125,52,1,abalone,4
195_A,2008,WCVI 2008 Index sites survey,27,16,0,0,62,0,abalone,4
196_A,2008,WCVI 2008 Index sites Survey,27,16,0,0,94,0,abalone,4
197_A,2008,WCVI 2008 Index sites survey,27,8,1,0.125,11,1,abalone,4
198_A,2008,WCVI 2008 Index sites survey,27,8,0,0,24,0,abalone,4
199_A,2008,WCVI 2008 Index sites Survey,27,16,0,0,66,0,abalone,4
200_A,2008,WCVI 2008 Index sites Survey,27,16,3,0.1875,63,1,abalone,4
201_A,2008,WCVI 2008 Index sites survey,27,16,3,0.1875,49,1,abalone,4
202_A,2008,WCVI 2008 Index sites Survey,27,8,0,0,31,0,abalone,4
203_A,2008,WCVI 2008 Index sites survey,27,8,1,0.125,44,1,abalone,4
204_A,2008,WCVI 2008 Index sites survey,27,8,3,0.375,22,1,abalone,4
205_A,2008,WCVI 2008 Index sites survey,27,8,2,0.25,20,1,abalone,4
206_A,2008,WCVI 2008 Index sites Survey,27,16,0,0,61,0,abalone,4
207_A,2008,WCVI 2008 Index sites Survey,27,16,4,0.25,82,1,abalone,4
208_A,2008,WCVI 2008 Index sites survey,27,8,3,0.375,34,1,abalone,4
209_A,2008,WCVI 2008 Index sites Survey,27,16,0,0,50,0,abalone,4
210_A,2008,WCVI 2008 Index sites Survey,27,8,0,0,41,0,abalone,4
211_A,2008,WCVI 2008 Index sites survey,27,8,1,0.125,32,1,abalone,4
212_A,2008,WCVI 2008 Index sites Survey,27,16,3,0.1875,41,1,abalone,4
213_A,2008,WCVI 2008 Index sites survey,27,16,4,0.25,75,1,abalone,4
214_A,2008,WCVI 2008 Index sites Survey,27,16,2,0.125,57,1,abalone,4
215_A,2008,WCVI 2008 Index sites survey,27,8,1,0.125,29,1,abalone,4
216_A,2008,WCVI 2008 Index sites survey,27,8,0,0,25,0,abalone,4
217_A,2009,QC Strait 2009 Index Sites,11,8,2,0.25,30,1,abalone,2
218_A,2009,QC Strait 2009 Index Sites,11,8,1,0.125,29,1,abalone,2
219_A,2009,QC Strait 2009 Index Sites,11,16,0,0,55,0,abalone,2
220_A,2009,QC Strait 2009 Index Sites,11,8,3,0.375,25,1,abalone,2
221_A,2009,QC Strait 2009 Index Sites,11,8,0,0,25,0,abalone,2
222_A,2009,QC Strait 2009 Index Sites,11,16,2,0.125,50,1,abalone,2
223_A,2009,QC Strait 2009 Index Sites,11,8,0,0,25,0,abalone,2
224_A,2009,QC Strait 2009 Index Sites,11,16,1,0.0625,55,1,abalone,2
225_A,2009,QC Strait 2009 Index Sites,11,16,0,0,46,0,abalone,2
226_A,2009,QC Strait 2009 Index Sites,12,8,1,0.125,20,1,abalone,3
227_A,2009,QC Strait 2009 Index Sites,12,8,0,0,30,0,abalone,3
228_A,2009,QC Strait 2009 Index Sites,12,8,0,0,26,0,abalone,3
229_A,2009,QC Strait 2009 Index Sites,12,8,4,0.5,23,1,abalone,3
230_A,2009,QC Strait 2009 Index Sites,12,16,5,0.3125,30,1,abalone,3
231_A,2009,QC Strait 2009 Index Sites,12,8,0,0,23,0,abalone,3
232_A,2009,QC Strait 2009 Index Sites,12,8,0,0,26,0,abalone,3
233_A,2009,QC Strait 2009 Index Sites,12,8,0,0,15,0,abalone,3
234_A,2009,QC Strait 2009 Index Sites,12,16,1,0.0625,50,1,abalone,3
235_A,2009,QC Strait 2009 Index Sites,12,16,1,0.0625,59,1,abalone,3
236_A,2009,QC Strait 2009 Index Sites,12,9,1,0.111111111,50,1,abalone,3
237_A,2009,QC Strait 2009 Index Sites,12,16,0,0,38,0,abalone,3
238_A,2009,QC Strait 2009 Index Sites,12,16,1,0.0625,29,1,abalone,3
239_A,2009,QC Strait 2009 Index Sites,12,16,1,0.0625,32,1,abalone,3
240_A,2009,QC Strait 2009 Index Sites,12,16,0,0,48,0,abalone,3
241_A,2009,QC Strait 2009 Index Sites,12,16,0,0,37,0,abalone,3
242_A,2009,QC Strait 2009 Index Sites,12,16,2,0.125,72,1,abalone,3
243_A,2009,QC Strait 2009 Index Sites,12,8,0,0,23,0,abalone,3
244_A,2009,QC Strait 2009 Index Sites,12,8,0,0,20,0,abalone,3
245_A,2009,QC Strait 2009 Index Sites,12,8,0,0,20,0,abalone,3
246_A,2009,QC Strait 2009 Index Sites,12,8,4,0.5,38,1,abalone,3
247_A,2009,QC Strait 2009 Index Sites,12,16,0,0,43,0,abalone,3
248_A,2009,QC Strait 2009 Index Sites,12,15,0,0,58,0,abalone,3
249_A,2009,QC Strait 2009 Index Sites,12,16,0,0,65,0,abalone,3
250_A,2009,QC Strait 2009 Index Sites,12,16,0,0,40,0,abalone,3
251_A,2009,Georgia Strait 2009 Index Site Survey,13,16,8,0.5,50,1,abalone,3
252_A,2009,Georgia Strait 2009 Index Site Survey,13,8,6,0.75,22,1,abalone,3
253_A,2009,Georgia Strait 2009 Index Site Survey,13,16,10,0.625,33,1,abalone,3
254_A,2009,Georgia Strait 2009 Index Site Survey,14,8,2,0.25,25,1,abalone,3
255_A,2009,Georgia Strait 2009 Index Site Survey,14,8,2,0.25,18,1,abalone,3
256_A,2009,Georgia Strait 2009 Index Site Survey,14,8,8,1,17,1,abalone,3
257_A,2009,Georgia Strait 2009 Index Site Survey,14,8,2,0.25,31,1,abalone,3
258_A,2009,Georgia Strait 2009 Index Site Survey,15,8,0,0,9,0,abalone,3
259_A,2009,Georgia Strait 2009 Index Site Survey,15,16,0,0,38,0,abalone,3
260_A,2009,Georgia Strait 2009 Index Site Survey,15,8,0,0,10,0,abalone,3
261_A,2009,Georgia Strait 2009 Index Site Survey,15,16,0,0,40,0,abalone,3
262_A,2009,Georgia Strait 2009 Index Site Survey,15,8,1,0.125,13,1,abalone,3
263_A,2009,Georgia Strait 2009 Index Site Survey,15,8,2,0.25,15,1,abalone,3
264_A,2009,Georgia Strait 2009 Index Site Survey,15,8,4,0.5,13,1,abalone,3
265_A,2009,Georgia Strait 2009 Index Site Survey,15,8,0,0,16,0,abalone,3
266_A,2009,Georgia Strait 2009 Index Site Survey,15,8,3,0.375,21,1,abalone,3
267_A,2009,Georgia Strait 2009 Index Site Survey,15,8,20,2.5,17,1,abalone,3
268_A,2009,Georgia Strait 2009 Index Site Survey,15,8,1,0.125,21,1,abalone,3
269_A,2009,Georgia Strait 2009 Index Site Survey,15,8,3,0.375,16,1,abalone,3
270_A,2009,Georgia Strait 2009 Index Site Survey,16,8,6,0.75,15,1,abalone,3
271_A,2009,Georgia Strait 2009 Index Site Survey,16,8,0,0,15,0,abalone,3
272_A,2009,Georgia Strait 2009 Index Site Survey,16,8,6,0.75,14,1,abalone,3
273_A,2009,Georgia Strait 2009 Index Site Survey,16,8,5,0.625,11,1,abalone,3
274_A,2009,Georgia Strait 2009 Index Site Survey,16,8,1,0.125,15,1,abalone,3
275_A,2009,Georgia Strait 2009 Index Site Survey,16,16,1,0.0625,21,1,abalone,3
276_A,2009,Georgia Strait 2009 Index Site Survey,16,8,0,0,15,0,abalone,3
277_A,2009,Georgia Strait 2009 Index Site Survey,16,8,1,0.125,14,1,abalone,3
278_A,2009,Georgia Strait 2009 Index Site Survey,16,8,4,0.5,13,1,abalone,3
279_A,2009,Georgia Strait 2009 Index Site Survey,16,8,6,0.75,24,1,abalone,3
280_A,2009,Georgia Strait 2009 Index Site Survey,16,8,0,0,14,0,abalone,3
281_A,2011,CC 2011 Index sites survey,5,16,4,0.25,32,1,abalone,2
282_A,2011,CC 2011 Index sites survey,5,16,2,0.125,44,1,abalone,2
283_A,2011,CC 2011 Index sites survey,5,16,14,0.875,80,1,abalone,2
284_A,2011,CC 2011 Index sites survey,5,16,4,0.25,73,1,abalone,2
285_A,2011,CC 2011 Index sites survey,5,16,17,1.0625,60,1,abalone,2
286_A,2011,CC 2011 Index sites survey,5,16,0,0,60,0,abalone,2
287_A,2011,CC 2011 Index sites survey,5,16,1,0.0625,68,1,abalone,2
288_A,2011,CC 2011 Index sites survey,5,16,2,0.125,60,1,abalone,2
289_A,2011,CC 2011 Index sites survey,5,16,6,0.375,54,1,abalone,2
290_A,2011,CC 2011 Index sites survey,5,16,2,0.125,43,1,abalone,2
291_A,2011,CC 2011 Index sites survey,6,16,3,0.1875,83,1,abalone,2
292_A,2011,CC 2011 Index sites survey,6,16,8,0.5,57,1,abalone,2
293_A,2011,CC 2011 Index sites survey,6,16,2,0.125,33,1,abalone,2
294_A,2011,CC 2011 Index sites survey,6,16,5,0.3125,40,1,abalone,2
295_A,2011,CC 2011 Index sites survey,6,16,3,0.1875,42,1,abalone,2
296_A,2011,CC 2011 Index sites survey,6,16,4,0.25,37,1,abalone,2
297_A,2011,CC 2011 Index sites survey,6,16,2,0.125,51,1,abalone,2
298_A,2011,CC 2011 Index sites survey,6,16,7,0.4375,49,1,abalone,2
299_A,2011,CC 2011 Index sites survey,6,16,3,0.1875,57,1,abalone,2
300_A,2011,CC 2011 Index sites survey,6,16,5,0.3125,53,1,abalone,2
301_A,2011,CC 2011 Index sites survey,6,16,0,0,59,0,abalone,2
302_A,2011,CC 2011 Index sites survey,6,16,1,0.0625,56,1,abalone,2
303_A,2011,CC 2011 Index sites survey,6,16,0,0,61,0,abalone,2
304_A,2011,CC 2011 Index sites survey,6,16,4,0.25,52,1,abalone,2
305_A,2011,CC 2011 Index sites survey,6,16,2,0.125,30,1,abalone,2
306_A,2011,CC 2011 Index sites survey,6,16,0,0,46,0,abalone,2
307_A,2011,CC 2011 Index sites survey,6,16,4,0.25,60,1,abalone,2
308_A,2011,CC 2011 Index sites survey,6,16,0,0,74,0,abalone,2
309_A,2011,CC 2011 Index sites survey,6,16,3,0.1875,51,1,abalone,2
310_A,2011,CC 2011 Index sites survey,6,16,3,0.1875,69,1,abalone,2
311_A,2011,CC 2011 Index sites survey,6,16,2,0.125,65,1,abalone,2
312_A,2011,CC 2011 Index sites survey,6,8,1,0.125,30,1,abalone,2
313_A,2011,CC 2011 Index sites survey,6,16,8,0.5,63,1,abalone,2
314_A,2011,CC 2011 Index sites survey,6,16,1,0.0625,39,1,abalone,2
315_A,2011,CC 2011 Index sites survey,6,16,2,0.125,52,1,abalone,2
316_A,2011,CC 2011 Index sites survey,6,16,3,0.1875,55,1,abalone,2
317_A,2011,CC 2011 Index sites survey,6,16,2,0.125,47,1,abalone,2
318_A,2011,CC 2011 Index sites survey,6,16,2,0.125,37,1,abalone,2
319_A,2011,CC 2011 Index sites survey,6,16,2,0.125,44,1,abalone,2
320_A,2011,CC 2011 Index sites survey,6,16,1,0.0625,46,1,abalone,2
321_A,2011,CC 2011 Index sites survey,6,16,5,0.3125,50,1,abalone,2
322_A,2011,CC 2011 Index sites survey,6,16,0,0,34,0,abalone,2
323_A,2011,CC 2011 Index sites survey,6,16,6,0.375,89,1,abalone,2
324_A,2011,CC 2011 Index sites survey,6,16,4,0.25,53,1,abalone,2
325_A,2011,CC 2011 Index sites survey,6,16,4,0.25,58,1,abalone,2
326_A,2011,CC 2011 Index sites survey,6,16,2,0.125,34,1,abalone,2
327_A,2011,CC 2011 Index sites survey,6,16,3,0.1875,38,1,abalone,2
328_A,2011,CC 2011 Index sites survey,6,16,2,0.125,54,1,abalone,2
329_A,2011,CC 2011 Index sites survey,6,16,0,0,26,0,abalone,2
330_A,2011,CC 2011 Index sites survey,6,16,0,0,24,0,abalone,2
331_A,2011,CC 2011 Index sites survey,6,16,8,0.5,60,1,abalone,2
332_A,2011,CC 2011 Index sites survey,6,16,1,0.0625,36,1,abalone,2
333_A,2011,CC 2011 Index sites survey,7,16,3,0.1875,79,1,abalone,2
334_A,2011,CC 2011 Index sites survey,7,12,3,0.25,88,1,abalone,2
335_A,2011,CC 2011 Index sites survey,7,16,2,0.125,78,1,abalone,2
336_A,2011,CC 2011 Index sites survey,7,16,4,0.25,76,1,abalone,2
